Comments,DSPM Requirement,Examples,Priority,#,What was discussed,Real World Scenario
,Public exposure of sensitive data,"Publicly accessible S3 buckets, Azure Blob containers, GCP storage buckets with PII/PCI/PHI.",Critical,1,Supported out-of-the-box. Can scan cloud storage and highlight publicly accessed buckets.,"A marketing team accidentally sets an Azure Blob container holding a CSV of 10,000 customer credit card applications to 'Public read access'."
,Unencrypted sensitive data at rest,Sensitive data stores without encryption (CMK or CSP-managed acceptable depending on policy).,Critical,2,"Supported out-of-the-box. Identifies unencrypted data. If a file is encrypted, it skips scanning the content but correctly flags it as encrypted.",A database snapshot containing employee SINs is saved to a storage bucket without KMS or Azure Key Vault encryption enabled.
,Unencrypted sensitive data in transit,"TLS not enforced for databases, storage endpoints, APIs handling sensitive data.",Critical,3,"Supported. Though technically in transit, it is supported by the tool.",An internal legacy application sends daily transaction logs with unmasked account numbers over HTTP instead of HTTPS to a cloud analytics tool.
,Over-permissive IAM on sensitive data,*:* or admin-level access to data stores with sensitive data.,Critical,4,"Supported where permission metadata is available (e.g., requires AD integration for on-prem). Users can run reports to see who has access, and custom risk policies are in development.",The 'Domain Users' Active Directory group is mistakenly given read access to a SharePoint folder containing executive bonus structures and unredacted financial reports.
,Cross-account / cross-organization data exposure,Sensitive datasets shared with untrusted or external accounts/projects/subscriptions.,Critical,5,Supported. Can define external sharing rules and alert on untrusted/external emails with access.,A developer shares an Azure subscription containing live customer transaction data with an external contractor's personal Gmail account instead of their corporate identity.
,Sensitive data in unapproved regions (data residency violations),PCI/PII data stored outside Canada/US/EU (depending on jurisdiction).,Critical,6,"Supported. Data residency violations are detected based on comprehensive findings (e.g., specific regional IDs/addresses) rather than simple keywords. Custom data classes can also be created.",GDPR-protected data containing UK citizen passport numbers is detected in a US-East Azure region due to an improper automated backup script.
,Snapshots/backups of sensitive data without encryption or with public access,"EBS, Azure Managed Disks, GCP Persistent Disk snapshots.",Critical,7,Partially supported. Noted as a 'nice-to-have' since other systems handle similar functions; team will review and adjust requirements.,"A database administrator creates a quick, unencrypted snapshot of an Azure SQL database holding customer loan profiles for testing purposes."
,Sensitive data accessible by compute with public exposure,"VM, container, or function with internet access and permissions to sensitive data.",High,8,Supported straight away.,An Azure Virtual Machine running an internal data visualization dashboard with live customer PII is accidentally given a public IP address.
,Shadow copies of sensitive data,Sensitive data duplicated in non-approved or shadow data stores.,High,9,"Supported. Can identify duplicates based on matching file size, data class, and creation date (metadata), though it doesn't do deep hash checking. Further duplicate detection is on the product roadmap.",A data scientist downloads a subset of production transaction data to their personal OneDrive for a quick Power BI analysis and forgets to delete it.
,Dormant sensitive data not protected,Sensitive data in buckets/databases not accessed in >90 days but still exposed.,High,10,"Supported. Identifies dormant data (e.g., older than 90 days) that is still exposed.","A decommissioned HR application's backend database, untouched for 3 years, still exists in the cloud containing former employee direct deposit details."
